Date,Predicted_Sales
2024-08-02,2896.16
2024-08-03,2997.7
2024-08-04,2940.12
2024-08-05,2972.77
2024-08-06,2954.25
2024-08-07,2964.76
2024-08-08,2958.8
2024-08-09,2962.18
2024-08-10,2960.26
2024-08-11,2961.35
2024-08-12,2960.73
2024-08-13,2961.08
2024-08-14,2960.88
2024-08-15,2961.0
2024-08-16,2960.93
2024-08-17,2960.97
2024-08-18,2960.95
2024-08-19,2960.96
2024-08-20,2960.95
2024-08-21,2960.96
2024-08-22,2960.95
2024-08-23,2960.96
2024-08-24,2960.95
2024-08-25,2960.96
2024-08-26,2960.96
2024-08-27,2960.96
2024-08-28,2960.96
2024-08-29,2960.96
2024-08-30,2960.96
2024-08-31,2960.96
