transaction_id,customer_id,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount,date
6581,598,15,1,5.85,Credit Card,Online,,0,0,01/12/2023 10:51
10188,155,15,1,4.29,Credit Card,Online,,0,0,01/12/2023 9:58
6734,109,15,1,2.02,Credit Card,Online,,0,0,01/12/2023 9:47
5593,435,15,1,8.86,Credit Card,Online,,0,0,02/12/2023 13:22
5923,174,15,1,4.71,Credit Card,Online,,0,0,02/12/2023 13:16
5338,145,15,1,6.52,Credit Card,Online,,0,0,04/12/2023 14:35
3950,474,15,1,3.07,Credit Card,Online,,0,0,05/12/2023 11:36
8959,298,15,1,3.09,Credit Card,Online,,0,0,06/12/2023 16:41
203,126,15,1,3.66,Credit Card,Online,,0,0,06/12/2023 16:08
7270,679,15,1,2.33,Credit Card,Online,,0,0,10/12/2023 14:59
4186,286,15,1,5.93,Credit Card,Online,,0,0,10/12/2023 16:37
6138,166,15,1,7.96,Credit Card,Online,,0,0,12/12/2023 12:15
8767,414,15,1,5.69,Credit Card,Online,,0,0,12/12/2023 10:20
5034,346,15,1,4.05,Credit Card,Online,,0,0,12/12/2023 10:06
7547,642,15,1,5.38,Credit Card,Online,,0,0,14/12/2023 11:31
1527,586,15,1,5.34,Credit Card,Online,,0,0,14/12/2023 10:45
6584,675,15,1,5.21,Credit Card,Online,,0,0,15/12/2023 9:29
1260,323,15,1,2.42,Credit Card,Online,,0,0,15/12/2023 12:45
1087,391,15,1,6.84,Credit Card,Online,,0,0,18/12/2023 14:21
1959,328,15,1,2.99,Credit Card,Online,,0,0,19/12/2023 15:32
6798,137,15,1,2.34,Credit Card,Online,,0,0,19/12/2023 15:08
4522,441,15,1,9,Credit Card,Online,,0,0,20/12/2023 9:22
2705,211,15,1,4.56,Credit Card,Online,,0,0,21/12/2023 15:44
10034,285,15,1,4.57,Credit Card,Online,,0,0,22/12/2023 16:56
6954,634,15,1,4.07,Credit Card,Online,,0,0,23/12/2023 14:34
2392,524,15,1,4.94,Credit Card,Online,,0,0,24/12/2023 10:04
9540,371,15,1,4.08,Credit Card,Online,,0,0,26/12/2023 14:20
